Row,Date,hor
1,1982-01-01,79
2,1982-04-01,65.9
3,1982-07-01,70.9
4,1982-10-01,66.7
5,1983-01-01,75.2
6,1983-04-01,68.1
7,1983-07-01,71.7
8,1983-10-01,66.5
9,1984-01-01,84
10,1984-04-01,75.6
11,1984-07-01,74.6
12,1984-10-01,75.1
13,1985-01-01,88.1
14,1985-04-01,69.1
15,1985-07-01,75
16,1985-10-01,72.5
17,1986-01-01,87
18,1986-04-01,78.8
19,1986-07-01,79.9
20,1986-10-01,76.8
21,1987-01-01,88
22,1987-04-01,77.1
23,1987-07-01,82.1
24,1987-10-01,77.8
25,1988-01-01,81.7
26,1988-04-01,75.1
27,1988-07-01,81.3
28,1988-10-01,75.1
29,1989-01-01,85.9
30,1989-04-01,73.9
31,1989-07-01,81
32,1989-10-01,75.7
33,1990-01-01,83.9
34,1990-04-01,75.5
35,1990-07-01,81
36,1990-10-01,74.3
37,1991-01-01,68.2
38,1991-04-01,70.7
39,1991-07-01,79.7
40,1991-10-01,72.5
41,1992-01-01,75.3
42,1992-04-01,68.6
43,1992-07-01,75.5
44,1992-10-01,75.2
45,1993-01-01,75.3
46,1993-04-01,67.9
47,1993-07-01,73.8
48,1993-10-01,72.5
49,1994-01-01,80.9
50,1994-04-01,72.7
51,1994-07-01,79.1
52,1994-10-01,74.8
53,1995-01-01,79.5
54,1995-04-01,70.3
55,1995-07-01,79.2
56,1995-10-01,75.1
57,1996-01-01,81.9
58,1996-04-01,72.3
59,1996-07-01,77.1
60,1996-10-01,70
61,1997-01-01,79.5
62,1997-04-01,70.8
63,1997-07-01,75.5
64,1997-10-01,69.9
65,1998-01-01,77.4
66,1998-04-01,68.7
67,1998-07-01,72.9
68,1998-10-01,67.7
69,1999-01-01,77
70,1999-04-01,67.7
71,1999-07-01,75
72,1999-10-01,68.7
73,2000-01-01,79.2
74,2000-04-01,75.2
75,2000-07-01,78.5
76,2000-10-01,73.1
77,2001-01-01,80.7
78,2001-04-01,70.7
79,2001-07-01,70.3
80,2001-10-01,57.2
81,2002-01-01,71.7
82,2002-04-01,67.9
83,2002-07-01,72.5
84,2002-10-01,67.1
85,2003-01-01,74.4
86,2003-04-01,67.1
87,2003-07-01,77.4
88,2003-10-01,71.3
89,2004-01-01,80.2
90,2004-04-01,75.7
91,2004-07-01,81.5
92,2004-10-01,73.4
93,2005-01-01,83.8
94,2005-04-01,78.4
95,2005-07-01,84.8
96,2005-10-01,77.2
97,2006-01-01,83.6
98,2006-04-01,78.2
99,2006-07-01,82.5
100,2006-10-01,74.1
101,2007-01-01,77.5
102,2007-04-01,72
103,2007-07-01,78.6
104,2007-10-01,72
105,2008-01-01,78.7
106,2008-04-01,68.8
107,2008-07-01,70.5
108,2008-10-01,63.8
109,2009-01-01,66.7
110,2009-04-01,63.7
111,2009-07-01,67.3
112,2009-10-01,63.5
113,2010-01-01,70.6
114,2010-04-01,67.3
115,2010-07-01,75.2
116,2010-10-01,69.5
117,2011-01-01,76.6
118,2011-04-01,68.6
119,2011-07-01,76.1
120,2011-10-01,71.9
121,2012-01-01,80.3
122,2012-04-01,73.8
123,2012-07-01,78.9
124,2012-10-01,74.5
125,2013-01-01,82
126,2013-04-01,74.2
127,2013-07-01,77.8
128,2013-10-01,72.3
129,2014-01-01,80.8
130,2014-04-01,74
131,2014-07-01,78.7
132,2014-10-01,74.7
133,2015-01-01,80
134,2015-04-01,77.9
135,2015-07-01,79.9
136,2015-10-01,78
