Date,euretail
1996-01-01,89.13
1996-04-01,89.52
1996-07-01,89.88
1996-10-01,90.12
1997-01-01,89.19
1997-04-01,89.78
1997-07-01,90.03
1997-10-01,90.38
1998-01-01,90.27
1998-04-01,90.77
1998-07-01,91.85
1998-10-01,92.51
1999-01-01,92.21
1999-04-01,92.52
1999-07-01,93.62
1999-10-01,94.15
2000-01-01,94.69
2000-04-01,95.34
2000-07-01,96.04
2000-10-01,96.3
2001-01-01,94.83
2001-04-01,95.14
2001-07-01,95.86
2001-10-01,95.83
2002-01-01,95.73
2002-04-01,96.36
2002-07-01,96.89
2002-10-01,97.01
2003-01-01,96.66
2003-04-01,97.76
2003-07-01,97.83
2003-10-01,97.76
2004-01-01,98.17
2004-04-01,98.55
2004-07-01,99.31
2004-10-01,99.44
2005-01-01,99.43
2005-04-01,99.84
2005-07-01,100.32
2005-10-01,100.4
2006-01-01,99.88
2006-04-01,100.19
2006-07-01,100.75
2006-10-01,101.01
2007-01-01,100.84
2007-04-01,101.34
2007-07-01,101.94
2007-10-01,102.1
2008-01-01,101.56
2008-04-01,101.48
2008-07-01,101.13
2008-10-01,100.34
2009-01-01,98.93
2009-04-01,98.31
2009-07-01,97.67
2009-10-01,97.44
2010-01-01,96.53
2010-04-01,96.56
2010-07-01,96.51
2010-10-01,96.7
2011-01-01,95.88
2011-04-01,95.84
2011-07-01,95.79
2011-10-01,95.94
